time_h,glucose,fructose,sugar_ref,ethanol,biomass
158.27218145430285,15.814743003089864,7.847059012536162,23.661802015626026,173.37026097675508,6.2
158.43895930620414,15.77252592735717,7.8203394838252365,23.59286541118241,173.40199186518808,6.2
158.6057371581054,15.730421564329196,7.793710946944018,23.524132511273216,173.43362899028727,6.2
158.77251501000666,15.688429612996044,7.767173091956344,23.455602704952387,173.46517263326555,6.2
158.93929286190794,15.646549773152135,7.740725609982178,23.387275383134316,173.49662307447937,6.2
159.1060707138092,15.604781745394163,7.714368193194043,23.319149938588204,173.52798059343158,6.2
159.27284856571046,15.563125231118814,7.688100534813399,23.251225765932215,173.55924546877392,6.2
159.43962641761175,15.521579932520714,7.661922329107075,23.18350226162779,173.5904179783096,6.2
159.606404269513,15.480145552590297,7.635833271383722,23.115978823974014,173.6214983989961,6.2
159.77318212141427,15.438821795111613,7.609833057990236,23.048654853101848,173.65248700694755,6.2
159.93995997331555,15.397608364660256,7.583921386308227,22.981529750968484,173.68338407743778,6.2
160.1067378252168,15.35650496660125,7.558097954750499,22.91460292135175,173.71418988490217,6.2
160.27351567711807,15.315511307086885,7.532362462757517,22.8478737698444,173.7449047029412,6.2
160.44029352901936,15.274627093054661,7.5067146107939084,22.78134170384857,173.775528804322,6.2
160.60707138092062,15.233852032225192,7.481154100344991,22.71500613257018,173.80606246098182,6.2
160.77384923282187,15.193185833100054,7.455680633913253,22.648866467013306,173.83650594403005,6.2
160.94062708472316,15.152628204959743,7.430293915014914,22.582922119974658,173.866859523751,6.2
161.10740493662442,15.112178857861611,7.404993648176469,22.517172506038083,173.89712346960638,6.2
161.27418278852568,15.071837502637702,7.379779538931218,22.45161704156892,173.92729805023785,6.2
161.44096064042694,15.031603850892775,7.354651293815861,22.386255144708638,173.95738353346968,6.2
161.60773849232822,14.99147761500217,7.329608620367056,22.321086235369226,173.98738018631087,6.2
161.77451634422948,14.951458508109802,7.304651227118025,22.256109735227827,174.01728827495836,6.2
161.94129419613074,14.911546244126047,7.279778823595148,22.191325067721195,174.04710806479883,6.2
162.10807204803203,14.871740537725728,7.254991120314564,22.126731658040292,174.07683982041158,6.2
162.2748498999333,14.832041104346066,7.230287828778835,22.0623289331249,174.10648380557106,6.2
162.44162775183455,14.792447660184639,7.205668661473524,21.998116321658163,174.13604028324917,6.2
162.60840560373583,14.752959922197315,7.1811333318639,21.934093254061217,174.16550951561788,6.2
162.7751834556371,14.713577608096314,7.156681554391558,21.87025916248787,174.1948917640516,6.2
162.94196130753835,14.674300436348046,7.132313044471116,21.806613480819163,174.22418728912965,6.2
163.10873915943964,14.635128126171242,7.108027518486869,21.743155644658113,174.25339635063875,6.2
163.2755170113409,14.596060397534828,7.083824693789521,21.679885091324348,174.2825192075757,6.2
163.44229486324215,14.557096971155975,7.05970428869285,21.616801259848824,174.3115561181493,6.2
163.60907271514344,14.518237568498074,7.035666022470442,21.553903590968517,174.34050733978322,6.2
163.7758505670447,14.479481911768767,7.011709615352431,21.4911915271212,174.36937312911826,6.2
163.94262841894596,14.440829723917933,6.987834788522217,21.428664512440147,174.3981537420148,6.2
