truth,seed,system,window,offset_min,verdict,correct,unique
agitation_aer_stop,4,probes,30,30,agitation_aer_stop,True,True
agitation_aer_stop,4,probes,60,60,agitation_aer_stop,True,True
agitation_aer_stop,4,probes,120,120,agitation_aer_stop,True,True
agitation_aer_stop,4,probes,180,180,agitation_aer_stop,True,True
agitation_aer_stop,4,probes,300,300,agitation_aer_stop,True,True
agitation_aer_stop,4,probes,end,475,agitation_aer_stop,True,True
agitation_aer_clog,0,ethanol,0,0,agitation_aer_clog,True,False
agitation_aer_clog,0,ethanol,30,30,agitation_aer_clog,True,False
agitation_aer_clog,0,ethanol,60,60,agitation_aer_clog,True,False
agitation_aer_clog,0,ethanol,120,120,agitation_aer_clog,True,False
agitation_aer_clog,0,ethanol,180,180,agitation_aer_clog,True,False
agitation_aer_clog,0,ethanol,300,300,agitation_aer_clog,True,False
agitation_aer_clog,0,ethanol,end,355,agitation_aer_clog,True,False
agitation_aer_clog,0,probes,0,0,agitation_aer_stop,False,False
agitation_aer_clog,0,probes,30,30,agitation_aer_clog,True,True
agitation_aer_clog,0,probes,60,60,agitation_aer_clog,True,True
agitation_aer_clog,0,probes,120,120,agitation_aer_clog,True,True
agitation_aer_clog,0,probes,180,180,agitation_aer_clog,True,True
agitation_aer_clog,0,probes,300,300,agitation_aer_clog,True,True
agitation_aer_clog,0,probes,end,475,agitation_aer_clog,True,True
agitation_aer_clog,1,ethanol,0,0,agitation_aer_clog,True,False
agitation_aer_clog,1,ethanol,30,30,agitation_aer_clog,True,False
agitation_aer_clog,1,ethanol,60,60,agitation_aer_clog,True,False
agitation_aer_clog,1,ethanol,120,120,agitation_aer_clog,True,False
agitation_aer_clog,1,ethanol,180,180,agitation_aer_clog,True,False
agitation_aer_clog,1,ethanol,300,300,agitation_aer_clog,True,False
agitation_aer_clog,1,ethanol,end,335,agitation_aer_clog,True,False
agitation_aer_clog,1,probes,0,0,agitation_aer_stop,False,False
agitation_aer_clog,1,probes,30,30,agitation_aer_clog,True,True
agitation_aer_clog,1,probes,60,60,agitation_aer_clog,True,True
agitation_aer_clog,1,probes,120,120,agitation_aer_clog,True,True
agitation_aer_clog,1,probes,180,180,agitation_aer_clog,True,True
agitation_aer_clog,1,probes,300,300,agitation_aer_clog,True,True
agitation_aer_clog,1,probes,end,475,agitation_aer_clog,True,True
agitation_aer_clog,2,ethanol,0,0,agitation_aer_clog,True,False
agitation_aer_clog,2,ethanol,30,30,agitation_aer_clog,True,False
agitation_aer_clog,2,ethanol,60,60,agitation_aer_clog,True,False
agitation_aer_clog,2,ethanol,120,120,agitation_aer_clog,True,False
agitation_aer_clog,2,ethanol,180,180,agitation_aer_clog,True,False
agitation_aer_clog,2,ethanol,300,300,agitation_aer_clog,True,False
agitation_aer_clog,2,ethanol,end,330,agitation_aer_clog,True,False
agitation_aer_clog,2,probes,0,0,agitation_aer_stop,False,False
agitation_aer_clog,2,probes,30,30,agitation_aer_clog,True,True
agitation_aer_clog,2,probes,60,60,agitation_aer_clog,True,True
agitation_aer_clog,2,probes,120,120,agitation_aer_clog,True,True
agitation_aer_clog,2,probes,180,180,agitation_aer_clog,True,True
agitation_aer_clog,2,probes,300,300,agitation_aer_clog,True,True
agitation_aer_clog,2,probes,end,475,agitation_aer_clog,True,True
agitation_aer_clog,3,ethanol,0,0,agitation_aer_clog,True,False
agitation_aer_clog,3,ethanol,30,30,agitation_aer_clog,True,False
agitation_aer_clog,3,ethanol,60,60,agitation_aer_clog,True,False
agitation_aer_clog,3,ethanol,120,120,agitation_aer_clog,True,False
agitation_aer_clog,3,ethanol,180,180,agitation_aer_clog,True,False
agitation_aer_clog,3,ethanol,300,300,agitation_aer_clog,True,False
agitation_aer_clog,3,ethanol,end,335,agitation_aer_clog,True,False
agitation_aer_clog,3,probes,0,0,agitation_aer_stop,False,False
agitation_aer_clog,3,probes,30,30,agitation_aer_clog,True,True
agitation_aer_clog,3,probes,60,60,agitation_aer_clog,True,True
agitation_aer_clog,3,probes,120,120,agitation_aer_clog,True,True
agitation_aer_clog,3,probes,180,180,agitation_aer_clog,True,True
agitation_aer_clog,3,probes,300,300,agitation_aer_clog,True,True
agitation_aer_clog,3,probes,end,475,agitation_aer_clog,True,True
agitation_aer_clog,4,ethanol,0,0,agitation_aer_clog,True,False
agitation_aer_clog,4,ethanol,30,30,agitation_aer_clog,True,False
agitation_aer_clog,4,ethanol,60,60,agitation_aer_clog,True,False
agitation_aer_clog,4,ethanol,120,120,agitation_aer_clog,True,False
agitation_aer_clog,4,ethanol,180,180,agitation_aer_clog,True,False
agitation_aer_clog,4,ethanol,300,300,agitation_aer_clog,True,False
agitation_aer_clog,4,ethanol,end,325,agitation_aer_clog,True,False
