truth,is_fault,seed,system,alarmed,channel,alarm_h,alarm_min,verdict,correct,unique,settle_min,total_min
healthy,False,108,ethanol,False,,,,,False,False,,
healthy,False,108,probes,False,,,,,False,False,,
healthy,False,109,ethanol,False,,,,,False,False,,
healthy,False,109,probes,False,,,,,False,False,,
healthy,False,110,ethanol,False,,,,,False,False,,
healthy,False,110,probes,False,,,,,False,False,,
healthy,False,111,ethanol,False,,,,,False,False,,
healthy,False,111,probes,False,,,,,False,False,,
healthy,False,112,ethanol,False,,,,,False,False,,
healthy,False,112,probes,False,,,,,False,False,,
healthy,False,113,ethanol,False,,,,,False,False,,
healthy,False,113,probes,False,,,,,False,False,,
healthy,False,114,ethanol,False,,,,,False,False,,
healthy,False,114,probes,False,,,,,False,False,,
healthy,False,115,ethanol,False,,,,,False,False,,
healthy,False,115,probes,False,,,,,False,False,,
healthy,False,116,ethanol,False,,,,,False,False,,
healthy,False,116,probes,False,,,,,False,False,,
healthy,False,117,ethanol,False,,,,,False,False,,
healthy,False,117,probes,False,,,,,False,False,,
healthy,False,118,ethanol,False,,,,,False,False,,
healthy,False,118,probes,False,,,,,False,False,,
healthy,False,119,ethanol,False,,,,,False,False,,
healthy,False,119,probes,False,,,,,False,False,,
